"","mission.corp6"
"136139887 2016"," horological society  new york  dedicated  advancing  art  science  horology members   diverse mix  watchmakers clockmakers executives journalists auctioneers historians salespeople  collectors reflecting  rich nature  horology  new york city"
"141916238 2015","shivaji held   mogul invaders"
"141928509 2017"," provide exclusively  charitable  educational purposes  center  will provide multimedia equipment technologies   workshops  individuals  groups  produce media  artistic"
"141928509 2016"," provide exclusively  charitable  educational purposes  center wjich will provide multimedia equipment technologies   workshops  individuals  groups  produce media  artistic"
"161381378 2017","firefighting"
"161489979 2017"," provide emergency medical transportation"
"200070220 2013","mental health america  monroe county   501_c_3 nonprofit organization dedicated  promoting mental health  supporting mental health consumers   families  education referral  service  achieve  mission  educating  public  ways  preserve  strengthen mental health  sponsoring support groups  serving   clearinghouse  information  mental health promotion prevention  treatment resources   community   fostering innovation  policy research practice  services"
"200513527 2012","supported living coaching companion non-residential support in-home support  trasnsportation provided  developmentally disabled foster care aged  adult services"
"200530212 2011"," educate health care professionals   developments concerning advances  health care"
"201338984 2014","volunteer fire department"
"201492556 2011"," provide affordable home ownership  low  moderate income families thru construction  rehabilitation"
"201925167 2017","provide  museum  local railroad history  educational  historical purposes"
"202095287 2012"," organization operates  elementary school pre-kindergarten  5th grade   middle school grades 6th  8th curriculum emphasizes multiple teaching strategies   loving  caring environment"
"202643592 2011","america  work   premier faciliator  fosters  economically beneficial job development  placement  displaced  non-traditional workers  supporting  fundamental shift  perception   workfoce  empoloyers"
"202874553 2016","parent organization formed  hold fundraising activities  support  operation   latchkey program  wellington schools"
"203004607 2015","service  community"
"203732417 2016","arts culture  humanities"
"203732417 2014","provide opportunities  educational intellectual cultural "
"204054959 2017"," solicit donations  provide scholarship  high school graduates"
"204116121 2016"," provide homes  children"
"204209205 2017"," corporation  formed   charitable purpose  alleviating suffering caused  natural disasters   humanitarian crises  foreign countries"
"204850732 2015"," restore hope  provide opportunities  people  become   god intends    partner   local church  put christian faith  action  service   community"
"204889142 2017","education   aberdeen breed  best practices promotion "
"204890877 2016","improve  effectiveness  nutritional education physical education social  emotional enhancement   promotion  child development increase public understanding  appreciation   values   contribute  child development evaluate professional standards  necessary  assure  improvement  education  cooperate   similar groups within  region  common interests   conduct activities  approved   executive board"
"205286952 2013","bible education"
"205289962 2011","   tremendous need  urban youth   after-school employment  teaches critical academic  life skills   environment  encourages  values  input  true star foundation provides services  eliminate  prime time hours  delinquent behavior"
"205289962 2015","true star's purpose   provide  creative outlet   form  literary  professional development programs  youth  programs expose youth  real world experiences particularly   fields  publishing marketing  entertainment"
"205741611 2017"," michigan korean chamber  commerce foundation  organized exclusively  charitable  educational purposes  making  distributions  organizations  section 501_c_3   internal revenue code"
"205766416 2016"," save life property extinguish fire  serve  borough  towanda  contracted areas  emergency conditions"
"205804466 2015","vigilant hope   modern missions organization   purpose  educate  equip  body  christ  reach   community   hope   gospel  urban outreach relief ministry  educational programs"
"208174452 2011","jazzpa's vision   promote create  present jazz 12 months   year  central pennsylvania"
"223464276 2016","youth soccer organization"
"223675056 2017"," provide vetinary  humane care  rehabilitate animals  need spay  neuter rescued animals  place   appropriate  loving homes educate  public   importance  animal population control  encourage animal rescue activities"
"232166231 2017"," provide global leadership  promote integrity  excellence   clinical research profession"
"232166231 2013","acrp   primary resource  clinical research professionals   pharmaceutical biotechnology  medical device industries    hospital academic medical centers  physician office settings acrp  founded  address  distinct educational  networking needs  research nurses  others  supported  work  clinical investigations    professional society came  recognition   new distinctive profession    clinical researcher   30 years later acrp   global association comprised    14,000 individuals   60 countries dedicated  clinical research  development"
"232775459 2015","library  museum open   visitors  well  historical lectures"
"232775459 2017","run museum  library"
"232945469 2017","conduct public activities"
"232945469 2013","conduct public activities promoting  educating   outdoors including beauty pageants wildlife contests  educational seminars  shows"
"237033105 2015"," mission   introduce boys  girls   game  baseball   structured  competitive atmosphere"
"237246859 2015","protecing  future  preserving  past"
"237375402 2016","reaching    members  potental members   public  general regarding safety  drugs  general public issues keeping members informed  issues involving retires police"
"237375402 2015","reaching    members potental members   public  general regarding safety  drugs  general public issues keeping members informed  issues involving retired police"
"237386905 2017","watercolor west  formed  preserve  traditional technique  transparent watercolor painting  promote  advance  appreciation  purely transparent watercolor painting  education exhibition  community service"
"237401511 2012","promotion  inducement  general commercial activity   fremont area"
"237416258 2017"," encourage friendship within  community  promote  civic  social welfare   community  assist youth organizations  hold educational programs   elevate  intellectual  social plane  members   interest  higher standards  citizenship"
"237424608 2014","providing team sport opportunities  children within local community"
"250987014 2017","volenteer fire company offering public service rescue  ambulance"
"251592872 2011"," offer educational  interactive exhibits  children bringing families together   safe environment emphasize  importance   family values  spark  imagination  inspires learning  nurturing growth  play"
"251592872 2012"," offer educational  interactive exhibits  children bringing families together   safe environment emphasize  importance   family values  spark  imagination  inspires learning  nurturing growth  play"
"261339150 2017","organize  educate wayward students"
"261886032 2011","missions  haiti scholarship funds hurricane relief earth quake relief stabilization   carma orphans stabilization  village theodat  lassare organizing relief food  good drives"
"261945859 2011","provide social services "
"262011045 2015","religious services"
"262157448 2016"," assist people   general community  times  need whether    emotional spiritual  financial reasons   christian method"
"262175573 2016"," support education  learning   arts around  world specifically associated  hughes school  cochabamba bolivia"
"262313488 2016","organization dedicated  enhancing lives  fostering communities  education preventive justice  youth urban development adolescents  transition  aging  elder services"
"262322255 2013","none"
"262363984 2011"," encourage involvement  school community parents guardians children  teachers"
"262533901 2015","santa monica united football club   youth club organized  provide coaching promote  development  soccer skills  sportsmanship   encourage amateur athletic competition every player participates  league competition  well  10 t0 12 local  national turnaments"
"262806089 2012","risk management specialty crop education  training  socially disadvantaged farmers"
"262890015 2011","christian-centered recovery based services   homeless recovering addicts alcoholics  ex-offenders  help  successfully reenter   community"
"262999903 2016","construct  maintain  memorial   lives lost   skywalk collapse"
"263012002 2016"," enhance  promote musical performances   kinds  ensembles   orchestras chamber ensembles  solo recitals  providing  variety  performance opportunities  personal networks  members  musicians  new york    achieves expanding  promoting classical music activities  metropolitan areas    united_states"
"263168174 2017","triangle cricket league tcl   nonprofit based around  triangle region  north carolina encompassing raleigh durham cary  chapel hill  tcls mission   play  promote  game  cricket   triangle region amongst  adult youth  women players"
"263214218 2016","support high school theater program"
"263297754 2013"," mission   detours mentoring group  dedicated  enhance  empowerment   risk youth   community  enable  youth  make positive life choices  will benefit  maximize  personal potential committed    pillar   community instill  progressive sense  life career planning  achievement  goal   reach  youth  12 thru 18 years  reaching    right   need may "
"263473110 2011"," mission    among  first responders   emergency situation  strive daily  connect  reach  integrate  people   nations"
"263621682 2014"," raise money  youth scholarships  sickle cell awareness"
"263745001 2017","public charity status qualified  receive tax deductible bequets devises transfers  gifts"
"263822175 2016"," provide disaster assistance   affected  natural disasters"
"264238731 2017"," educate  community  christiananity"
"264566762 2016","   mission duty  purpose  al baqee organization nfp hereinafter referred   al baqee  address educate coordinate  provide awareness   atrocities  violence brought upon  people  various religious denominations   respective religious  cultural heritage"
"264735332 2017","america nepal helping society  organized exclusively  charitable language  educational purpose including   purposes  making  distribution  orginazations  qualify  exempt organization  501c 3   internal revenue code  corresponding section"
"264771087 2017"," lift   empower people  need focusing   total well  mind body  soul"
"270012888 2011"," participate   creation"
"270091152 2013","daylight magazine   printed publication  daylight community arts foundation inc"
"270259038 2016"," enhance dance amongst  adolescent community"
"270349709 2016"," schools mission   educate students  operating  charter school  arizona"
"270368677 2011"," help develop great international leaders  will sustain  environment promote international peace  create  high quality  life    educate  support  leaders  get free  affordable access  high quality leadership coaching  recruit highly qualified leadership coaches   committed  giving  gift   coaching   international leaders  provide access   coaches  advise  support  coaches  best serve  leaders  inform  leaders   benefits  best ways  select  work  coaches  help  identify  coaches  can best help  develop  leadership capabilities   greater positive impact   world  conduct confidential research  best coaching practices     activities  help build  international community  leadership coaching   benefit  humanity"
"270439149 2015","summer food service program"
"270439149 2017","summer food service program  youth enrichment program"
"270883695 2015"," inspire  share history  "
"271070248 2016"," assist young people   development  knowledge skills  love   game  basketball"
"271070248 2015","assisting young people   development  knowledge skills  love   game  basketball"
"271189266 2011"," develop physical  mental health  well  positive attitudes   swimmers regardless  age  skill level"
"271272773 2017","wolfbane provides  arts    represented   served population"
"271345048 2016","youth lacrosse sports team"
"271553230 2015","doorways prep works  empower  young adults aging    foster care system homeless youths  unemployed  underemployed displaced homemakers shelter residents   others  desire  improve  quality   lives  gaining needed employment skills training job counseling case management  referrals   services  needed   helping  foster productive participants   communities"
"271656618 2013","help special needs kids   community"
"271706873 2017","foundation organized exclusively  charitable  educational purposes including   purposes  making  distributions  organizations  501_c_3   internal revenue code  corresponding section   future federal tax code"
"271709541 2017"," promote  preserve  history "
"271726852 2016","mission  facilitate community  fulfilling  artistic social educational  cultural needs   community"
"271732931 2012"," mission   save women  destruction disaster  possible death  introduce    better way  life free   form  drug physical  mental abuse  help women  restored   firm  stable mind  clarity free  indecision   sure      stand  ultimate goal   build self worth   help  see    new light  strive  help women stay free  jail  prisons   help    become institutionalized   correctional  mental health unique ladies  character will provide every tool  necessary  make  success  one's life happen   help  ministry 12 steps  self esteem building along   host   services offered   program"
"271800586 2016"," provide support  program development implementation  students  evan e worthing high school  houston tx"
"271821981 2013","preservation  endangered animals  future generations"
"271897134 2017"," mission   hannah project   boost  academic proficiency  college attendance  marin city   low income youth  color  working  partnership  promote  community culture  encourages achievement  equips families  students  knowledge skills  strategies  fulfill  dreams  ambitions"
"271897134 2016"," mission   hannah project   boost  academic proficiency  college attendance  marin city   low income youth  color  working  partnership  promote  community culture  encourages achievement  equips families  students  knowledge skills  strategies  fulfill  dreams  ambitions"
"271897134 2015","recognizing  huge achievement gap  marin  white black  brown youth hannah project  organized  2007  increase  graduation rates  low-income ethnic minority students   county initially focused  providing academic enrichment support  high school students  hannah project now serves children  families   ages  8  22  uses culture heritage   arts   key foundation   work"
"272106231 2017","mission   assist  community  guineans   city  labe promotion  well    community"
"272112814 2016"," provide comprehensive diagnostics evaluations resourses  avocacy  drive treatment intervention planning  inclusion  enrich  quality  life  indivdiuals  autism spectum disorder   families  home  school   community"
"272115614 2017"," organization seeks  advance art history research  education   open sharing  resources  knowledge using relevant technology  organization's growing collection  videos  essays  designed   engaging  conversational   provided   public free  charge"
"272132913 2014","children exercise  nutrition initiatives operation advantage will work  ensure low income areas  supplied  nutritious food  learn healthy eating  exercise habits throughout  year"
"272691526 2016"," free coexistence  human beings   aspiration  building  better life based  love justice  worldly peace  launching  movement   mind   aware  conscious reading   universe life  humanity"
"273029906 2017"," equal justice wyoming foundation strengthens  defends access  justice  civil legal services  wyoming  fundraising   supportive activities  guiding principle   every individual   full  equal access  justice regardless     financial means"
"273029906 2015"," equal justice wyoming foundation strengthens  defends access  justice  civil legal services  wyoming  fundraising   supportive activities  guiding principle   every individual   full  equal access  justice regardless     financial means"
"273368026 2016","establishing  perfecting  recitation"
"274263950 2015","   asian culture   use  traditional  contemporary media"
"274338944 2016","empower people   animals  make  earth  better place  positive psychology coaching hypnosis  neuro-linguistic programming  achieving  dreams  fullest potential  life   facing  breaking   fears"
"274383573 2017"," repair preserve   protect  building  grounds   property known  st ann's church located   town  kingston new york  property including  nearly one-hundred year old church surplused   archdiocese  new york   town center      vital part   small town's population approximately 900 identity  benchmark  cultural  economic sustainability"
"274463574 2017","support promote  foster  development   competition   sport  rugby   high school level"
"274644787 2013","primary purposes   corporation   support  charitable  civic activities   dubuque jaycees inc    related projects   consistent   non-profit status   exemption   private operating foundation"
"274644787 2016","primary purposes   corporation   support  charitable  civic activities   dubuque jaycees inc    related projects   consistent   non-profit status   exemption   private operating foundation"
"274659435 2017","provide education services"
"274698447 2015"," raise money   purpose  preserving  beauty enjoyment  recreational use  sanford lake   provide financial assistance   preservation  maintenance   sanford lake earthen dam"
"274705213 2017"," foster public  private partnerships   focused  preserving  enhancing  parks green space   quality  life   community"
"274728075 2017"," facilitate  establishment  implementation   workforce"
"275167714 2017","corporation   provide chinese"
"275273049 2016","team first   new york city based non-profit educational organization  offers mentorship services   tied  attractive  competitive athletic events    children   passion  sports can participate"
"275334557 2015","stimulate public  private investment community partnerships  resources  support  revitalization  downtown long beach"
"275486618 2017"," economic needs   town led individuals  form  ministry  help meet  emotional physical  spiritual needs  thomasville  surrounding areas  founders felt    important need   time  physical food  cares sought  alleviate  need  food  weekends  children  providing bag lunches  saturdays  soon led delivering boxes  necessities  entire families  need along   bag lunch provided"
"300205347 2011","promotion  study  democracy  federalism"
"300394389 2012"," national institute  science nis  organized  provide  opportunity  students  faculty members  historically black colleges  universities  exchange information  present scholarly research papers  science  mathematics   annual march meeting"
"300651782 2015"," promote encourage  finance physical mental  spiritual fitness activities  soldiers   warrior transition battalion  wounded soldiers assigned  fort benning ga along  wounded veterans   community"
"300825213 2017"," purposes  charitable religious  educational services   community"
"300833447 2017"," promote youth activities  pom  cheerleading  enrich  community"
"300836513 2016"," provide theatre  positive mentor relationships  youth throughout  step   journey   criminal justice system detention placement  probation"
"300848193 2015"," provide aid  support  youth  returning veterans  outreach  educational programs   esof real role models  youth rrmy  revive warrior"
"300880716 2017"," world development foundation brings together  supports governments united nations civil society academic communities corporations  private investors throughout  world toward global sustainable development-with respect    hope  achieving  sdg"
"300914973 2017","none"
"300931735 2017","create  maintain retail store  supply  maintain feeding centers"
"301011561 2017"," mission    watch inc   assist support educate  elderly  functionally incapacitated  victims  elder abuse"
"311085405 2017"," promote  support beekeeping   state  ohio  education  research"
"311462466 2015"," promote  sport  lacrosse  westerville ohio"
"320043189 2016"," increase  number  riders involved enhance  image  games   spectator sport  continually improving  quality  quantity   competitions  keeping safety  fairness  top priority"
"320084683 2016","provide meals  help reduce poverty  children  summer programs"
"320084683 2015","summer food summer program  provide healthy meals   communities  feed children  participates  summer programs"
"320194547 2011","providing strength based experiential social services via therapeutic programming professional development  consumer education"
"320239401 2016"," mission   provide fundraiser    benifits  children  focus    art  children  otherwise    able  experience  area   life"
"320380143 2016","pre-school education using  montessori philosophy"
"320396872 2016"," provide  school artistic physical  educational programs  elementary school children"
"320426785 2016"," provide humanitarian financial educational"
"320446919 2017"," alleviate animal suffering caused  neglect cruelty  ignorance   promote  human treatment  companion animals  prevention intervention placement education  example"
"320452878 2017"," provide shelter  related functions  transitional women"
"320469726 2015","provide tea education culture  entertainment   community including   limited  festivals talks  seminars.raise awareness  scientific research  health benefits  tea.promote fair trade  raise awareness  tea-related charities  organizations"
"320471248 2016","1   spiritual  material undertaking  may  recommended   pastor 2  foster  closer relationship   members   parish  pastor 3  assume  duties  pertain   upkeep   church  care   alter"
"320475252 2016"," specific purpose   corporation   support  arts     visual  create forms including film    formats   special emphasis  nurturing  creative spirit  young people  year round community outreach scholarships  grants special festival programs   festival   corporation  give artists  platform   voice  pursue  creative visions  share    world"
"320489487 2016"," organization provides"
"320534574 2017"," nbsp  nbsp asset nbsp  nbsp  nbsp community nbsp  nbsp religion nbsp help nbsp  nbsp neighbors nbsp  nbsp needs nbsp spiritually nbsp mentally nbsp  nbsp financially nbsp help nbsp women nbsp  nbsp need nbsp help nbsp  nbsp children nbsp  nbsp need nbsp guidance"
"330126306 2016","youth rugby training  130 boys aged 10  18 years old   long beach ca area   currently 5 active teams    broad base  ethnic participants including african american european hispanic  pacific islanders"
"330878840 2011"," foundation raises money  support  corona del mar high school baseball program   relative ways"
"331159459 2016","seek financial support   resources   enrichment  improvement   overall quality  life   pueblo central high school commuinity  investments   curricular  extracurricular programs"
"331159459 2015","seek financial support   resources   enrichment  improvement   overall quality  life   pueblo central high school commuinity  investments  bo0th curricular  extracurricular programs"
"331159459 2017","seek financial support   resources   enrichment  improvement   overall quality  life   pueblo central high school community  investments   curricular  extracurricular programs"
"341610699 2017"," mission   crime prevention association  findlay hancock county   reduce countywide crime enhance  sense  safety  security  positively influence  quality  life  hancock county   help develop  environment  crime  flourish"
"352399094 2017","provide abstinence education  youth"
"352420579 2015"," mission   detroit hbcu network   create awareness  students seeking academia excellence  mission   align  interest  students  hbcus  advocate  behalf  hbcus"
"352427888 2017"," nbsp establish nbsp  nbsp place nbsp  nbsp worship nbsp study nbsp  nbsp practice nbsp  nbsp buddhist nbsp members nbsp  nbsp proliferate nbsp  nbsp teachings nbsp  nbsp buddha nbsp  nbsp conduct nbsp charitable nbsp activities nbsp  nbsp social nbsp services nbsp  nbsp enhance nbsp welfare nbsp  nbsp  nbsp  nbsp  nbsp needs nbsp  nbsp assistance"
"352490479 2015"," philosophy   develop   skill  character   players   prepare    future success  baseball    objective  create  atmosphere   enjoyable experience"
"352514918 2016","raising funds  scholarships"
"352523738 2017"," develop promote  administer  pathway  college  elite soccer training  san francisco youth boys  girls"
"352530797 2017","save  brave   nonprofit organization devoted  providing companionship  stress management tools  programs address psychological emotional spiritual  relationship challenges experienced   stages  deployment  help rebuild  connectivity   mind body relationships  create new support networks  help build  safe  comfortable place  veterans  service members  connect  service providers  order  veterans  share  stories struggles  accomplishments  connect veterans   communities  collaborate  benefit providers   veterans can receive  physical mental  well  financial assistance  may  required"
"352541201 2016"," mission  i.a.t.p.a inc   organize  manage airline companies club members  well  obtain special benefits  improve terms conditions  treatment   airline companies club members  airline passengers  general"
"352566282 2016","provide community based wrestling activities  youth  age 15 served 88 registrants"
"352606256 2016","liaison unity  chinese  usa"
"362193619 2015","see schedule o  organization's mission statement"
"362193619 2013","youth  christ reaches young people everywhere working together   local church   like minded partners  raise  lifelong followers  jesus  lead   godliness  lifestyle devotion   word  god  prayer passion  sharing  love  christ  commitment  social involvement"
"363078132 2016"," serve   umbrella organization  complement existing japanese japanese american organizations  main mission   work  harmony   community providing logistical support   member organizations toward accomplishing  collective missions"
"363461326 2011"," mission  shomrim socieity  illinois    promote  interests   organization   members   community  strive  make  difference  educating  public  expanding  reach"
"363617549 2014","provide community awareness  electronic newsletters meetings  provide fundraising   southport neighborhood"
"364099066 2017"," educate  promote science fiction   literary genre    literary form  also  forms  media   art music theatical performances  film"
"364488302 2017","provide soccer  young boys  girls provide fields coaches insurance leagues uniforms referees  scholarships  families children   minimal fee   hardship"
"364488302 2016","provide soccer  young boys  girls provide fields coaches insurance leagues uniforms referees  scholarships  families children   minimal fee   hardship"
"364591594 2017"," provide disaster aid  help terror victims   one   first responders   emergency   help poor  needy people  israel  worldwide"
"364742032 2016"," make  positive change   lives  young people   discipline  dance  vision   improved quality  life foe underserved youth   communities inspired   educational dance experience"
"364764965 2017","  committed  reaching people  order  build   restore hope   lives  inspire   dream   desire   instill hope   destitute  assist  providing basic needs   struggling  make ends meet"
"364766801 2016","young inventors  america  dedicated  providing  best quality educational training  new manufacturing  engineering processes product development  marketing  young inventors   educators  innovative programming  engaging written materials will enhance  students knowledge   invention process  allow    fully realize  ideas  prototype  finished product"
"364803539 2017"," educate  community  organic farming  healthy eating  operating bethesda farm  organic farm  trains  employs local workers  raise chickens livestock  organically grown crops  provide resources   community  develop school community microfarms"
"364803539 2015"," educate  community  organic farming  healthy eating  operating bethesda farm  organic farm  trains  employs local workers  raise chickens livestock  organically grown crops  provide resources   community  develop school community microfarms"
"364806249 2017","operation helping hands   501_c_3 non profit organization dedicated  empowerng  youth  give back  providing hygiene items  basic necessities   homeless"
"364822694 2016"," provide comprehensive swim stroke training  youth   families   promote healthy lifestyle habits   good nutrition  sleep"
"364833455 2017","provide youth hockey players"
"364834610 2016","see attached copy  mission statement"
"371264951 2016","collect perishable food  distribute  organizations  serve  homeless"
"371576071 2017","church  provide religious services"
"371642248 2014"," provide daycare services  low income families"
"371642248 2013","child care services  low income families"
"371654877 2017","mentor  privilege children  recreational  educational"
"371667037 2016"," purpose   fairport harbor heritage foundation    active   physical social  economic revitalization  fairport harbor   emphasis  increasing  visibility   village  tourism culture  economic improvement along  business enhancement"
"371711439 2014"," promote  interest    community support   okeechobee high school athletics"
"371773678 2017","connecting men   ages      god  outdoor adventures"
"371780006 2017","little league baseball club"
"371829968 2017","   trauma-informed environment  partners collaboratively investigate"
"371851947 2017"," purpose   mentor  help provide guidance  young men 8-18   brighter  successful future"
"371853213 2017","senior moments will help  elderly  providing practical gerontological education assistance  social services"
"382032136 2012","providing information  library media programs  schools"
"382806151 2015","enhance  self image  youth  increasing  skills acquisition  sports provide ongoing education  exposure  football  cheerleading   essential  improve  physical  emotional well-being   young man  lady  participates   program"
"383042347 2017","developing  operating residential   programs  continuing care  substance abuse patients"
"383847257 2015"," tear  walls  build bridges  people   historically"
"383873676 2015","continued planning  development  affordable housing  civic space   community  southern queens"
"383881108 2017"," provide access  healthcare  nigerians"
"383933760 2016"," provide culinary arts education   re-entry community"
"383935047 2017"," charitable organization  formed  provide assistance  people  need particularly children  tulare county california   participate  programs providing overall benefit   underserved population   communities  tulare county california"
"383936224 2015"," spread among people  "
"383936224 2016"," spread among people   jewish faith  principles  doctrine  orthodox religious law   foster support  encourage religious observance"
"383941176 2015"," provide students  world class dance training  instruction   provide  community     lifetime performances"
"383942855 2015"," mentor youths  order  create healthy strong individuals   socially  fiscally responsible     community"
"383945370 2017"," assist   conservation  preservation   natural beauty  historic integrity   hingham cemetery  hingham massachusetts  inthe renovation preservation  maintenance   historic buildings  monuments therein located   educate  public   increase public appreciation   cultural historic natural  man-made assets  resources   cemetery"
"383951960 2015","maine roller derby's mission   promote  sport  roller derby maintain  competitive athletic program   women's flat track derby association  make  positive impact   community"
"383956806 2015"," provide food  underpriviledge  low income families  tutoring services  school children"
"383958104 2017","childcare education services"
"383972074 2015"," preserve culture  heritage"
"383972760 2017"," purpose   rock  christ youth center   outreach  young adults  youth  provided bibles meals  well  teachings   biblical worldview  also perform community services  well  participate  live nativity  fall fest activities   surrounding areas"
"383973303 2016"," provide education  sikh history language  culture"
"383973328 2017","summer camp  children  special needs"
"383973901 2016"," mission  boots  troops   uplift  empower  over-all morale  mental well-being  deployed service members defending  freedom"
"383978620 2016"," establish  administer specific funds  funds shall  utilized  provide grants   loans  particular designated individuals  associations   objectives  advancing  education   connecticut students  decreasing disparities  educational outcomes"
"384039465 2017"," orginazation's mission   promote  cultural aspects  history   unkechaug indian nation"
"386062546 2016"," church exists  introduce"
"390926339 2012"," perpetuate  celebrate harmony   barbershop style  promoting fellowship among men  good will  music   lives  people everywhere since 1938  society   preservation  encouragement  barber shop quartet singing  america inc spebsqsa inc dba  barbershop harmony society   spreading  chords  culture  four-part harmony  people everywhere today  24,000 members support  mission  preserve  uniquely american musical form spread singing  schools support singers young  old compete improve  craft  support  culture  fosters encouragement service  fraternity 800 society chapters provide singing service  community involvement throughout north america"
"390926339 2015","see schedule o"
"390926339 2013"," 23,000 members   barbershop harmony society bring joy   lives    touch founded  1938  organization brings together men   ages  experience cultivates extraordinary singing  showmanship promotes fellowship  camaraderie  makes  difference  people's lives  public performance vocal instruction support  music education   age levels  communities around  world  charitable service   making  music  making  difference"
"391369383 2016"," educate  community  soccer"
"410518275 2013"," lake superior medical society provides  forum  support  members   efforts  deliver quality patient care  enhance  public health"
"411995843 2017"," provide opportunities  snowmobile clubs  snowmobile safety.the enhancement   state  minnesota snowmobile trail system  use   general public  promoting  facilitating  expansion  improvement   existing state  minnesota snowmobile trail system.to develop  common appreciation understanding  knowledge   sport  snowmobiling   state  minnesota.to    things  expressly noted   promote  encourage  charitable  education purpose   corporation"
"421589355 2015"," promote  safety  welfare   citizens   town  snow hill   contentnea rescue district   provision  emergency medical services emergency medical transportation  equipment"
"431947339 2015","support  domestically abused persons"
"431969389 2014","aid  search  rescue operations  pierce county"
"431992020 2014"," mission   empower  equip individuals  develop productive lives  will leam   make  difference within  community"
"432074533 2011"," raise money  women's health causes  art shows  women's work   efforts"
"450522729 2016","volunteeer fire department"
"451266886 2015","bringing theatre  school systems"
"451544043 2015"," intervene   lives  young people  early identification  early intervention  provide  safe place  yoth  belong  interact  supportive adults  develop pro social attitudes  healthy behaviors  will translate  better school performance  reduce involvement  risky behaviors  improve  overall well    youth   community"
"451609573 2012","mentoring children  dance"
"451625011 2016"," increase school pride school spirit  morale among  athletic coaches players parents  supporters   program   provide support   tulare western cheer coaching staff  volunteer  fundraising activities   promote sportsmanship among spectators  participants"
"452068344 2015","art   soul gallery  established  provide  venue  artists   cultures can exhibit  sell  art  space  created  represent  promote  work  emerging local artists"
"452287458 2015","bring spiritual  moral support  prison inmates   families"
"452396461 2014"," foster develop  manage low-income  affordable housing  conjunction  ancillary support services  provide safe decent quality affordable housing services    limited resources  search   better living environment"
"452464358 2016","distribution service working exclusively  help small sustainable family farms sell  locally grown items efficiently  economically  restaurants  schools"
"452464358 2017","distribution service working exclusively  help small sustainable family farms sell  locally grown items efficiently  economically  restaurants"
"452488353 2016"," care  abandon  needy animals"
"452560937 2011","raising hearing loss awareness educating  public   available help  audiologists"
"452592861 2016","stand   wounded strives  meet  long term needs  critically wounded special operations members  addressing voids   rehabilitation process  facilitating   complete recovery"
"452602377 2012","building medical capacity  post conflict areas"
"452632601 2017"," help veterans  others  transition rebuild healthy relationships  home work  school  meaningful engagement  horses"
"452710560 2017","family  child counseling"
"452710560 2016"," counsel mental  disabled familoes"
"452955811 2017"," provide education assistance  education  keeping babies safe  preventable injuries associated  unsafe cribs  unsafe sleep environments"
"453041019 2017"," educated  community   performings arts"
"453086987 2017","1  primary purpose    corporation  formed   raise invest  manage charitable bequests  contributions   permanent endowment utilizing  interest  dividend income therefrom  christian educational  charitable purposes consistent   doctrine  beliefs   lutheran church-missouri synod   teachings   lord christ jesus 2    lawful purpose pursuant  florida statutes   powers conferred upon non-profit corporations   laws   state  florida"
"453146371 2012","life time resolutions   adult female residential rehabilitation program  provides professional therapeutic care  women   age  18   nurturing safe"
"453158542 2014","professional basketball player jason thompson launched  jason thompson foundation  support children  wish  brighter future  may    resources  social support     foundation  working  create environments  encourage kids  dream big  strive  excellence  foundation plans  demonstrate  practice trhough fundraiser events  activities designed  support  mission"
"453548262 2016"," organization mission   provide enhancement   quality  life  disadvantage seniors  youth"
