"","programs.corp6"
"205289962 2015","program accomplishments   year included increase  programs  one session  8  session services 100-150 students implementation  first ever true star jr summer session partnered  respiratory health  students created  anti-tobacco campaign students began particpating  chicago city  learning ccol program  students earn digital badges  learning challenges successfully completed"
"205741611 2017","educate  members  scholarship  turkey give-away program"
"205766416 2016"," save life property extinguish fire  serve  borough  towanda  contracted areas  emergency conditions"
"205804466 2014","poverty simulation:through  experiential learning poverty simulations  can learn first hand  effects  poverty   world around  participants experience real life situations  people  poverty live    regular basis learn   global national  even local issues   affecting   us  ever "
"205804466 2016","walking togetheris  weekly meal   homeless  low income families   use   vessel  feed hungry people make  relationship  see   can properly help "
"208174452 2011"," provide  jazz festival   number  exciting venues  central pennsylvania"
"223464276 2015","providing supervised soccer playing experience   teaching environment  improving  competing"
"223675056 2017","rescued stray  injured cats  dogs raised funds  pay  vetinary care  shelter spent spare time organizing fund raiseers  pay  care  treatment also worked without compensation     finding new homes  rescued animals"
"232166231 2013","meetings  workshops  1,700 people attend  global conference promoting best practices  clinical research"
"232166231 2017","education develop courses  webinars  study  members education  training   conduct  clinical research studies"
"232166231 2015","membership provide 13,000 members  educational programs career development information changes  regulations guidances professional forums  local chapter support"
"232166231 2014","membership provide 13,225 members  educational programs career development information changes  regulations guidances professional forums  local chapter support"
"232775459 2017","library museum open   vistors  well  historical lectures"
"232775459 2015"," run library  museum"
"232945469 2016","conduct events including pagents outdoor  indoor shows  activities  open   public"
"232945469 2013","conduct events including pageants contests outdoor  indoor shows  activities  open   public"
"237033105 2014","hot stove baseball organization  boys  girls  play baseball   structured  competitie atmosphere"
"237033105 2015","hot stove baseball orginization  boys  girls  play baseball   structured  competitive atmosphere"
"237246859 2015","organization continues  preserve el monte's rich history"
"237375402 2016"," service system whereby major public social  financial problems confronting  public  discussed newsletter  pamphlets  utilized diverse problems  discussed   alcoholism health care crime prevention  financial assistance object   assist   general problems affecting  membership  public  general"
"237386905 2016","watercolor west keeps   membership   public informed   interactive website  committee compiles quarterly newsletters  relay organization news promote artists   received awards  pertinent information   exhibits  demonstrations  workshops  current events occasionally  review   new watercolor book will  included"
"237386905 2015"," lectures classes  demonstrations  conducted year-round  nationally known artists open   youth  adults  classes  taught   city  brea's art gallery  non-profit organization    art experience"
"237401511 2017","promotion  inducement  general commercial activity   fremont area"
"237416258 2017"," organization provides bus trips comedians installation dinners  raise money    used  contribute    need"
"237424608 2015","able  provide every child  expressed  desire  participate  team sports  opportunity  find  team  play  sport  wished   active "
"250987014 2017","volenteer fire company ambulance social club"
"251592872 2011"," offer educational  interactive exhibits  children bring families together   safe environment emphasize  importance   family values  spark  imagination  inspires learning  nurturing growth  play"
"251592872 2012"," offer educational  interactive exhibits  children bringing families together   safe environment emphasize  importance   family values  spark  imagination  inspires learning  nurturing growth  play"
"261339150 2017","organize  educate wayward students"
"261886032 2011","carma house orphanage  leogane haiti nov  2008 rebuilding "
"261945859 2011","sponsored several events conference events related  non profit purposes"
"262011045 2015","religious activities"
"262157448 2017"," assist people   general community  times  need whether    emotional spiritual  financial reasons   christian method"
"262157448 2015","funds  raised  assist people   general community  times  need whether    emotional spiritual  financial reasons   christian method"
"262175573 2016"," establish  support education institutions   united_states  overseas   quest  excellence  education"
"262313488 2016"," transition  find another facility"
"262322255 2013","sharing  church"
"262363984 2011","promoting  welfare  children  youth  home school  community establishing close relations   home  school  enable parents  teachers  cooperate   education  children raising standards  uniting  efforts  school  home life  securing  highest advantages  academic physical  social education  every child fostering  promoting  interchange  ideas  cooperation among parents  teachers collecting  disseminating information  interest  parents  teachers developing  encouraging  practice  high standards  personal  ethical conduct"
"262533901 2015","santa monica united football club   youth club organized  provide coaching promote  development  soccer skills  sportsmanship   encourage amateur athletic competition every player participates  league competition  well  10 t0 12 local  national turnaments"
"262806089 2012"," organization maintains  continuous bonafide program  solicitation  funds   general public community membership group involved governmental units   public charities todate  source  support    government grants  organization    governing board  represents  broad interests   public   organization generally provides facilities  services directly   general benefit   general public   continuing basis membership  available dues   required  afford membership   broad cross section   interested public"
"262890015 2011","services  homeless recovering addicts alcoholics  ex-offenders  help  successfully reenter society"
"262999903 2015","construct  maintain  memorial   lives lost   skywalk collapse"
"263012002 2016"," enhance  promote musical performances   kinds  ensembles   orchestras chamber ensembles  solo recitals  providing  variety  performance opportunities  personal networks  members  musicians  new york    achieves expanding  promoting classical music activities  metropolitan areas    united_states"
"263168174 2017","entity organized cricket leagues  tournaments   trianlge area   year"
"263214218 2016","promote  support  liberty union high school theatre program   students"
"263297754 2013","none"
"263297754 2012","none"
"263473110 2011","helping families  resolving problems"
"263621682 2014","give away 2 scholarships one female  one male  sickle cell awareness funds"
"263745001 2017","negative number  4541"
"263822175 2016"," provide assistance   affected  natural disasters"
"264238731 2017","came fron tithes  members   sponsorships   year"
"264566762 2016","conducted protest rally  2016"
"264566762 2017","conducted protest rally  2017"
"264735332 2016","heth care camp language cultural  music class"
"264735332 2015","helped victims  earthquake  nepal"
"264771087 2017","feeding families  need thru  outreach program"
"270012888 2011","basekamp   non commercial studio  exhibition space whose primary focus   participate   creation facilitation  promotion  large scale collaborative projects  contemporary artist philadelphia   example   city whose visual art world  currently   process  self definition   seen    opportunity  use  city   home base  invite domestic  international collaborative groups   joint experiment  develop new models  relations within overlapping art communities"
"270091152 2013"," organization strives  establish community-based documentary partnerships  various locations throughout  world  initiatives aim  provide photographic resources  education   personal documentation  certain communities    belief   photographic process  along   dissemination  imagery  text can empower people within communities  effect long-lasting change daylight magazine serves   primary platform    documentary efforts  shared   broad spectrum  viewers"
"270259038 2016","art  dance"
"270349709 2016"," school provided services  approximately 700 students  kindergarten  eighth grade   public charter school campus  maricopa arizona   2016-17 school year"
"270349709 2015"," school provided services  approximately 425 students  kindergarten  eighth grade   public charter school campus  maricopa arizona   2015-16 school year"
"270349709 2014"," school provided services  approximately 300 students  kindergarten  eighth grade   public charter school campus  maricopa arizona   2014-15 school year"
"270368677 2011"," company  still   infancy    yet begun  conduct program services"
"270439149 2017","summer food service program"
"270439149 2016","youth  community activities"
"270883695 2016","riding  parades"
"271070248 2016","costs  maintaining program"
"271070248 2015","costs  maintaining program"
"271189266 2011","develop pyhsical  mental health  well  positive attituds  swimmers regardless  age  skill level"
"271272773 2017","1 three mainstage productions including wolfbanes romeo  juliet evil dead  musical   rocky horror show2 free community events including theatre exchange master classes community movie night experience  holidays3 hosted three new cultural events  wolfswood faire misfit masquerade  experience  holidayscontinued  schedule o"
"271345048 2016","youth lacrosse sports team"
"271553230 2015","doorways prep works  empower  young adults aging    foster care system homeless youths  unemployed  underemployed displaced homemakers shelter residents   others  desire  improve  quality   lives  gaining needed employment skills training job counseling case management  referrals   services  needed   helping  foster productive participants   communities"
"271656618 2013"," school program"
"271706873 2017","held events  provide support   north miami senior citizens foundation  501_c_3 organization funded christmas share program  needy families  paul harris fellowships  rotary international"
"271709541 2017"," promote  preserve  history   town  jonesville  provide community programs  activities historical events heritage studies etc veterans memorials  events museum maintenance  educational materials provided   public"
"271726852 2017","mission  facilitate community  fulfilling  artistic social educational  cultural needs   community"
"271732931 2012","two company vehicles  transport dui grant  application"
"271800586 2016","fundraising concert"
"271800586 2017","9 scholarships issued  high school students going  college"
"271821981 2013","merchandise website sales"
"271897134 2016","hannah cdf freedom school  blend  educational cultural  social development opportunities  children  grades 3-8  hannah cdf freedom school r   exhilarating six week summer experience focused  language arts  reading  program   serious educational intervention  strives  help children  young adults improve academic skills  developing  understanding  appreciation    history  culture  order  develop  resilience  need  address  overcome academic social cultural  emotional challenges since 2010  hannah project  provided  successful full-day summer school experience   partnership   children's defense fund  national advocacy organization serving   300 elementary  middle school aged children   period  six-week literacy  project based learning program   documented results  increasing reading proficiency motivation   self-esteem  scholars freedom school   promotes literacy   love  learning among students  offers visual  performance arts sports field trips  stem related activities   diverse community  students   afternoons independent testing  also confirmed  freedom schools   stave  summer reading loss  children  hannah freedom school actually gained  cumulative month reading gain  little known outcome  freedom school    impact   servant leader interns slis  college students  function  instructors   22 young people   served  slis nine    actively pursuing careers  teachers  educational administrators creating  much needed pipe line  minority educational professionals freedom schools create  affirmative positive culturally rich learning environment  sets high expectations  engagement parents  deeply involved  site volunteers  participate  weekly parent education focused workshops steeped   cultural traditions  black  brown people  cdf freedom schools progam instills  sense  pride  opportunity   hearts  minds    participate children servant leaders volunteers   broader community  little known outcome  freedom school    impact   servant leader interns slis  college students  function  instructors   22 young people   served  slis nine    actively pursuing careers  teachers  educational administrators creating  much needed pipe line  minority educational professionals freedom school 2016 hannah freedom school broke new ground   collaboration  sports zone  summer recreation program sports zone students participated   daily harambee  dear time drop everything  read activities  well   academic  sports olympiad   end   summer  meant    first time   120 children  access  reading enriched schedule  120 students began  day  inspirational music chants  20 minutes  silent reading  well  spending part   day preparing  competitions  math spelling geography  track  field skills program summary number  student served 50 duration six weeks june 22 july 29 2016 curriculum mornings integrated reading  language arts afternoon art choir fitness sports training    judge writing composition yoga culinary arts number  instructional staff slis 5 number  junior servant leaders 4 number  support staff 2 number  volunteers 9"
"271897134 2017","saving  generation sage"
"271897134 2015"," hannah cdf freedom schools r program   six week full-day reading  ela enrichment program  seeks  build strong literate  empowered children prepared  make  difference    families communities nation  world today  affiliate   children's defense fund  hannah freedom schools program provides breakfast lunch performance  visual art sports field trips  stem related activites   afternoons  approximately 50 students per day  providing summer reading enrichment  children  might otherwise   access  books  cdf freedom schools program plays  much needed role  helping  curb summer learning loss  close achievement gaps children  engaged  activities  nurture  minds bodies  spirits children parents  staff  introduced   superb collection  books  reflect   images  reinforce  cdf freedom schools theme  can make  difference  collection  books reflect  wide variety  cultures  experience   part   integrated reading curriculum irc   books activities field trips  games  relate   reinforce   servant leader interns college students  recent graduates trained  cdf use  irc  teach children conflict resolution  critical thinking skills  engage children  community service  social action projects  addition parents  active participants  attend weekly meetings formed around  personal development interests  fy2015 48 students attended hannah freedom school"
"272106231 2017","organize  fundraiser  assist organization members  special need"
"272112814 2016","provide comprehensive diagnostic evaluations resources  advocacy  individuals  austim spectum disorders   families"
"272115614 2016","creating  distributing educational content expanding community  students  content creators"
"272132913 2014","summer feeding program feed children ages 1 thru 18 years  age  low income communities"
"272691526 2016"," free coexistence  human beings   aspiration  building  better life based  love justice  worldly peace  launching  movement   mind   aware  conscious reading   universe life  humanity"
"273029906 2016","provide grants  civil legal service providers  supporting educational efforts  work closely   wyoming supreme court access  justice commission wyoming state bar equal justice wyoming legal service providers  community organizations across  state  accomplish  mission"
"273029906 2015","provide grants  civil legal service providers  supporting educational efforts  work closely   wyoming supreme court access  justice commission wyoming state bar equal justice wyoming legal service providers  community organizations across  state  accomplish  mission"
"273368026 2016","300 participants  annual quran contest full time school students grew  39"
"274263950 2016","   asian culture   use  traditional  contemporary media"
"274338944 2016","empower people   animals  positive psychology  coaching"
"274383573 2015","repair preserve  protect  building  grounds   property known  st ann's church located   town  kingston new york"
"274463574 2017","support promote  foster  development   competition   sport  rugby   high school level"
"274644787 2017","primary purposes   corporation   support  charitable  civic activities   dubuque jaycees inc    related projects   consistent   non-profit status   exemption   private operating foundation"
"274659435 2017","education services"
"274698447 2015"," support  organization's mission  raising money   purpose  preserving  beauty enjoyment  recreational use  sanford lake   provide financial assistance   preservation  maintenance   sanford lake earthen dam"
"274705213 2017","tree planting  maintenance   bentonville community center   trail  two cities"
"274728075 2017","west alabama works establishing workforce development system  west alabama region 3"
"275167714 2017","workshops lectures"
"275273049 2016","mentorship seminars"
"275334557 2015"," loop ocean pine   temporary art light  sound installation   corner  pine ave  ocean blvd  designed  create programming  ensure downtown remains attractive  employees residents  visitors  gather movable tables chairs  lawn games  available  guests   daily basis  space  leased   development corporation   city  long beach  plays host   variety  events including live  five fitness classes   pop-up ice cream social future planned programming includes yoga classes lectures  movie screenings  well  events associated   long beach convention center  addition  introducing  fun  playful space  one  downtown long beach's  prominent intersections  loop  pine ocean shines   example  community partners working together  show  positive change can happen  innovative  tactical approaches  community building"
"275486618 2016"," cares ministries  founded  provided bag lunches  weekends  boxes  necessaties  families  need   community"
"300205347 2011","scholarships  promote  study  federalism   relates   world peace"
"300394389 2012"," provide students  faculty   means  travel   annual meeting hosted  different locations  march members participate  workshops listen  renowned lecturers  honorary speakers present  research  manuscripts  review  network   peers  african american scientists  around  country"
"300651782 2015"," promote encourage  finance physical mental  spiritual fitness activities  soldiers   warrior transition battalion  wounded soldiers assigned  fort benning ga along  wounded veterans   community"
"300825213 2017","promote  practice  religious beliefs"
"300833447 2017","promoted youth involvement  pom  cheerleading  enriched  community   "
"300836513 2016"," provide theatre  positive mentor relationships  youth throughout  step   journey   criminal justice system detention placement  probation"
"300848193 2015"," fall festival provides youth   local community access   patriotic  educational programs available   grounds   organization including organic farming weapons safety training  obstacle course participation"
"300880716 2017"," work   permanent mission os suriname   united nations   throughout 2017  order  promote new economies investment   initiatives  promote  sucess   sustainable development goals  program discusses  need   privator sector  join  campaign  successfuly sustainable development goals.un staff weighed   current  proposed programming  encourage mult-stakeholder involvement   sucess   sdgs  conference also featured  media launch   first ladies   world flow summit set  fall 2017  highlights included presentations  corporate leaders   seeking ways  combine value-added propositions   bottom lines  adherence   goals"
"300914973 2017","substance abuse prevention  organization provided significant funding  produce  film related   perils  substance abuse  also partnered   local school  educate young people   importance  preventing drug  alcohol dependency"
"300931735 2017","successfully supplied food  feeding centers  honduras  provided clothing  supplies  people  honduras"
"301011561 2016","provide legal assistance information  education  clients   12 county area  northeast georgia"
"301011561 2017","provide case management  care coordination   1100 clients   year  assist  helping nursing home bound clients  remain   homes  communities"
"311085405 2017","education provided education dvds online ecucated  public   state fair   pavilion promoted research  bees   save  honey bee license plate  save  honey bee stickers supported 4-h student beekeepers   mentors  local clubs  equipment  beekeeping education"
"311085405 2015","research provided grant  osu  bee research"
"311462466 2014"," development  lacrosse skills  knowledge  organized teams  competition"
"320043189 2016","  increased  number  riders involved  equestrian games enhanced  image   games   spectator sport  improved  quality   competitions  keeping safety  fairness  top priority"
"320084683 2015","dive provide humanitarian assistance  provide  800 meals   summer months  children"
"320084683 2016","humanitarian assistance  feed children   summer program"
"320194547 2011","providing strength based experiential social services via therapeutic programming professional development  consumer education"
"320239401 2016","  fical year    able  provide music scholarships  several students  art endowment  established   year"
"320380143 2016","island montessori school   non-profit pre-school committed  providing  unique child-centered environment using  internationally recognized curriculum  pioneering educator dr maria montessori montessori philosophy believes  thoughtfully prepared environment fosters independence curiosity creativity  critical thinking island montessori regards education  respect   whole child  involves education socialization  acculturation   end  school's purpose mission core values  code  ethics acknowledge  appreciate individuality welcome  benefit  diversity  celebrate  harmony   vibrant community"
"320396872 2016","organization offers variety   school educational  youth programs  focus  arts  athletics"
"320426785 2017","grant  made   indian student   pursuing higher education  germany  needed financial assistance"
"320446919 2017"," organization operates  low-cost free spay  neuter clinic provides animal rescue  adoption services assists low-income pet owners  subsidizes  humane society police officer"
"320452878 2017","provided assistance  women coming  incarceration addiction homelessness  domestic violence  transition  better living situations"
"320469726 2016"," provide tea education culture  entertainment   community including   limited  festivals talks  seminars  raise awareness  scientific research  health benefits  tea  promote fair trade  raise awareness  tea-related charities  organizations  help tea plantation workers   families"
"320471248 2017"," blessed sacrament alter society provided resources  numeros religious  humanitarin activities   2016 tax year"
"320475252 2016","film festival program  carmel international film festival provides  platform  stage  hundreds  independent filmmakers  brings many   together   five-day community celebration   artistic accomplishments although  five-day festival  focused  screening independent film  carmel international film festival also includes educational seminars designed  help young  upcoming filmmakers   careers  objective   educational panels  twofold help young filmmakers navigate  increasingly difficult media film landscape  provide insight    collaborate effectively  bring  project  fruition making films  hard   requires  broad skill set   successful  strive  provide education     skills  estimate   reach hundreds  filmmakers students   industry professionals exempt purpose achievemnets:celebrating women  film  female focused  carmel international film festivals celebration  women  film   exclusive  women  goal   highlight creative women   variety  fields identify areas  women can help   grow  succeed   respective fields  promote  lobby  gender equality every year    different theme  associated screening  always   underling goal  supporting  promoting women  includes bringing  accomplished women  share  knowledge  insight expense  women  film:lunchen live auction table sales  paddle raiser total expense 23,688.00revenue  women  film:live auction 10,400table sales 10,455paddle raiser 900total 21,755fellowship  student ambassador program education    heart   carmel international film festival    committed   next generation  artists  creative thinkers  carmel international film festival   robust fellowship program partnering  students  hara motion picture conservatory  students get hands  experience   organization  execution   five-day film festival  students also conducted 19 filmmaker spotlight interviews  students  responsible   facets   project including pre-production filming interviewing editing  post production working  california state university monterey bay  carmel international film festival also trains  deploys student ambassadors   responsible  introducing films  moderating question  answer sessions  filmmakers   screening  order  facilitate  lively discussion  students  required  conduct research   assigned films  filmmakers  project confidence  public speaking  program   hugely successful    expanding  number  students involved every year  goal    programs  well   internship position   introduce young people   inner workings   complicated event   business side   creative  well  boost confidence  speaking skills  hone skills  can  used  future careers  expenses   fellowship  student ambassador program  1,000.00  food   provided   students  carmel international film festival   five-day festival celebrating  promoting  art  independent film 8,000 attendees 130 filmmakers   100 participating films  around  world panel discussions  educational  student programs film   incredibly powerful medium  can bring people together   collective experience  ultimately can educate inspire  elevate  entire community   proud  offer  stage  filmmakers   community offering  artistic experience   unique   festival since  inception  2008  festival  grown  fledgling  flourishing 10 films screened  year one compared  130 screened  year eight hundreds  audience participants  thousands    dozen attending filmmakers  130  numbers improve exponentially every year  carmel international film festival  also committed  helping  promoting filmmakers making  film   difficult endeavor  requires skill resources   faith   will find  audience helping filmmakers   nurturing  creative spirit  part   mission   carmel international film festival    commitment comes education  outreach  students  will   next generation  artists  community  carmel california   rich artistic history    growing economic  artistic impact  carmel international film festival strives    lasting part   legacy expenses   film festival:staff 27,600theater  venue rental 35,766catering charges 31,944catering charges  529breakfast talks 1,408print  copying  event magazine 5,000printing credentials 1,343printing banners 1,755printing invitations 3,243celebrity  filmmakers travel 6,512revenue  film festival:ticket income 81,970film submission fees 6,200women  film lunchen previous mentioned  21,755board memeber contributions 35,000sponsorships 45,000patron event 5,000donation individual business contributions 1,100legends dinner 500event magazine ad sales 5,000festival merchandise 1,050"
"320489487 2016","donation   non-profit organizations including dc warriors"
"320489487 2017","award scholarship funds  youths  college"
"320534574 2017"," started  first youth ministry group  get children involved   church  community"
"330126306 2016","youth rugby training  tournaments   150 boys  young men aged 10  30 years old   long beach ca area   currently 5 active teams"
"330878840 2011"," addition   young men  women  attend  high school many  adults  young people   community   formal  informal completion including many generations  come benefit   donations made   field baseball program   related activities benefits include physical emotional recreational  social development"
"331159459 2015","provide college scholarships  central high school graduates"
"331159459 2016","special funding requests  support school related extra curricular activities"
"341610699 2017"," ways   crime prevention association  working  reduce crime  enhance  sense  safety  security  positively influence  quality  life  hancock county    k-9 fund used  help support  findlay police department  hancock county sheriff's office units yield young individuals education local drivers program  chaplains program  also  several smaller projects    invovled "
"352399094 2017","providing abstinence education programs  youth  reducing early sexual activity  providing  foundation  personal responsibility  enduring marital commitment"
"352420579 2016","creating awareness  students seeking academia excellence aligning  interest  students  hbcus  advocate  behalf  hbcus"
"352427888 2017","donated   elderly orphans hurricane victims"
"352490479 2015"," organization  comprised  athletes    play  game"
"352514918 2016","raising funds  scholarships  women re-entering  workforce"
"352523738 2017","soccer program-during 2017  san francisco elite academy expanded  number  youth soccer teams participating   club  23 hired coaches  trainers  improved operations"
"352523738 2016","soccer program  2016  san francisco elite academy expanded  number  youth soccer teams participating   club  14 hired coaches  trainers  improved operations"
"352530797 2017","save  brave   nonprofit organization devoted  providing companionship  stress management tools  veterans  programs address psychological emotional spiritual  relationship challenges experienced   stages  deployment  help rebuild  connectivity   mind body relationships  create new support networks  help build  safe  comfortable place  veterans  service members  connect  service providers  order  veterans  share  stories struggles  accomplishments  connect veterans   communities  collaborate  benefit providers   veterans can receive  physical mental  well  financial assistance  may  required"
"352541201 2016","n "
"352566282 2016","provided wrestling opportunities  community youth  14"
"352606256 2016","servicing  chinese communities  need"
"362193619 2013","missionaries includes missionary activity  various countries  us military bases    united_states"
"362193619 2012","field leadership staff  activities devoted  providing guidance  leadership  yfc chapters examples include field cirectors core ministry directors  expansion planning"
"362193619 2014","field leadership staff  activities devoted  providing guidance  leadership  yfc chapters examples include field directors core ministry directors  expansion planning"
"362193619 2015","missionaries includes missionary activity  various countries  u.s military bases    united_states"
"362193619 2016","field services staff  activities devoted  providing services  yfc local chapters  assist  chapters  moving forward   yfc mission examples include yfcamp staff training  staff development"
"363078132 2016","japan festival  fund raising event   one program service chicago japanese american council accomplised  2016"
"363078132 2015","kansha project"
"363078132 2017","contributions given   purpose  developing relationships  understandings  japanese  american communities"
"363461326 2011","contributions  charitable organizations"
"363617549 2014","community newsletter distributed   members   quarterly basis summer festival held"
"364099066 2015","annual convention  art show promoting science fiction   literary genre"
"364488302 2017","provided soccer fields referrees coaches uniforms leagues"
"364488302 2016","provided soccer fields referees coaches uniforms leagues"
"364591594 2017"," provide disaster aid  help terror victims   one   first responders   emergency   help poor  needy people  israel  worldwide"
"364742032 2016","kdo"
"364764965 2017"," promote  community  people  build  support one another  sharing  time resources  love    need"
